m,tempo_medio
10,0.00784876300022006
11,0.007863470799929929
12,0.007817745600186754
14,0.007762627600095584
15,0.008174363999933121
17,0.008042341999680503
20,0.008030483800030196
22,0.007967018799899962
25,0.007787639800153556
28,0.007774906000122428
31,0.00818650000001071
35,0.007984445599868195
40,0.007891736199962907
45,0.007913652199931676
50,0.007760026200048742
57,0.007735257799868123
64,0.00804328579979483
72,0.007945783200193545
81,0.007869109400053276
91,0.00783474939998996
102,0.009781469999870751
114,0.009899200000290875
129,0.010161963400241803
145,0.010140407800281536
162,0.01012024539995764
183,0.009958015200027148
205,0.010028006200082018
231,0.009924900000260094
259,0.010304732599979615
291,0.010048366999762947
327,0.00997081879977486
367,0.010056722199806245
413,0.010036874800061924
464,0.009959094200166874
521,0.010167876999912551
585,0.010144307799782837
657,0.010033422999913454
739,0.009975096199923428
830,0.00992441839989624
932,0.009822583600180224
1047,0.012206395999965026
1176,0.012086022600124124
1321,0.012225439800022286
1484,0.012019367000175408
1668,0.012104381199969793
1873,0.011914990399964154
2104,0.012455183200290775
2364,0.012179082400325569
2656,0.012174322600185406
2983,0.012040821399932611
3351,0.011974722000013571
3764,0.011941872399984278
4229,0.012408625399984885
4750,0.012384178199863528
5336,0.01216417299983732
5994,0.012084739399870158
6734,0.012047103800068727
7564,0.012136543199812878
8497,0.01231508959972416
9545,0.012380806199871586
10722,0.014063655800055131
12045,0.014028290799979004
13530,0.014083301800201297
15199,0.014095647200156236
17073,0.014323780199993053
19179,0.014735244599796716
21544,0.014423128999987966
24201,0.014194865800163825
27185,0.014147034600318876
30538,0.013915326799906324
34304,0.0144788179997704
38535,0.01427292580010544
43287,0.01428760240014526
48626,0.01423945120004646
54622,0.014114541400340385
61359,0.014069895200009341
68926,0.014474868799879914
77426,0.01421261819996289
86974,0.014368125400142161
97700,0.014060390400118195
109749,0.016337690399814163
123284,0.016071160000137752
138488,0.016313659399747847
155567,0.016275401799794052
174752,0.016487826600132392
196304,0.016263114400135236
220513,0.01601890639976773
247707,0.016197560599903228
278255,0.01641270159998385
312571,0.016358750400104326
351119,0.01633029879994865
394420,0.01632417100008752
443062,0.016180739799892763
497702,0.01611673179977515
559081,0.01638796920015011
628029,0.016378079199785133
705480,0.016205364000052215
792482,0.01627516420012398
890215,0.016205426800297573
999999,0.015931893000015407
