n,tempo_medio
100,6.44416082650423e-05
109,6.79749995470047e-05
120,7.729181088507175e-05
132,8.055001962929964e-05
145,9.2308409512043e-05
159,9.986660443246364e-05
174,0.00010854159481823444
191,0.0001212000148370862
210,0.00014351678546518088
231,0.00015570838004350663
253,0.00016825839411467315
278,0.00019448339007794858
305,0.00020468339789658785
335,0.00022290840279310943
367,0.0002502499846741557
403,0.0002788583980873227
443,0.00032094998750835656
486,0.0003616750007495284
533,0.00039318320341408253
585,0.00043634998146444557
642,0.0004880000138655305
705,0.0005672083934769034
774,0.000589308189228177
849,0.0006470249965786934
932,0.0007551417918875813
1023,0.0008050916017964483
1123,0.0009171915939077735
1232,0.0009999749949201942
1353,0.0011063165962696075
1484,0.0012321084039285779
1629,0.0013524584006518125
1788,0.001509524998255074
1963,0.0016510915942490102
2154,0.0019021499902009964
2364,0.002094225003384054
2595,0.002274516597390175
2848,0.002558708400465548
3125,0.0028088083956390618
3430,0.003076083189807832
3764,0.003443108219653368
4132,0.0037373165832832456
4534,0.004159358213655651
4977,0.004614175017923117
5462,0.005361266620457173
5994,0.005827608401887119
6579,0.006429474987089634
7220,0.007181733404286206
7924,0.00775319158565253
8697,0.008895833184942603
9545,0.00940634161233902
10476,0.010465950006619096
11497,0.011641458212397992
12618,0.013287149998359383
13848,0.014224250009283424
15199,0.015607733186334372
16681,0.017198291583918036
18307,0.019843808212317526
20092,0.021392641612328588
22051,0.023730841604992746
24201,0.02665646681562066
26560,0.02865025820210576
29150,0.03167330001015216
31992,0.035593149997293946
35111,0.04045204180292785
38535,0.04374238341115415
42292,0.04736700819339603
46415,0.053530824999324975
50941,0.06113619159441441
55908,0.06521537499502301
61359,0.07179724180605263
67341,0.0883251333842054
73907,0.08666396681219339
81113,0.0945651417830959
89021,0.1038929418195039
97700,0.1161700249882415
107226,0.13571165001485497
117681,0.14066734160296618
129154,0.15690329999197275
141747,0.17251164158806204
155567,0.19484814160969108
170735,0.2151019500102848
187381,0.2344227917958051
205651,0.2574043668108061
225701,0.2902724084211513
247707,0.32188800000585616
271858,0.3631673665950075
298364,0.4151698668021709
327454,0.45764999999664724
359381,0.49114547499921174
394420,0.5632183165987954
432876,0.6295231665950268
475081,0.7068561665946618
521400,0.7691297583980485
572236,0.8754092915914953
628029,0.9712581333937124
689261,1.0808991583995522
756463,1.206702149985358
830217,1.325106858392246
911162,1.4581144750118256
1000000,1.6206594166113064
