n,tempo_medio
100,9.870820213109255e-05
109,0.0001058249967172742
120,0.00011336659081280231
132,0.0001230665948241949
145,0.000133350002579391
159,0.0001500581856817007
174,0.0001663499977439642
191,0.00018488341011106967
210,0.00020069999154657126
231,0.00021114160772413016
253,0.00022928339894860982
278,0.000265799998305738
305,0.00029560839757323263
335,0.00031479999888688325
367,0.0003568331943824887
403,0.00039016660302877427
443,0.00043995839077979324
486,0.00047307501081377267
533,0.000523233413696289
585,0.0005784417968243361
642,0.0006275749998167157
705,0.0006858417997136712
774,0.0007688083918765187
849,0.0008294665953144431
932,0.000908025004900992
1023,0.0010028667980805039
1123,0.0011041081976145505
1232,0.001206341595388949
1353,0.0013228081865236164
1484,0.0014991499949246645
1629,0.0016072334023192526
1788,0.001816600002348423
1963,0.0019298250088468194
2154,0.0021208415972068908
2364,0.0023349584080278873
2595,0.0025758166098967194
2848,0.002834408194757998
3125,0.0031822833931073546
3430,0.0035094500053673983
3764,0.0038155833957716823
4132,0.004275641799904406
4534,0.004749349993653595
4977,0.005084108398295939
5462,0.0057518749963492155
5994,0.006215250003151596
6579,0.006742291594855487
7220,0.007736958400346339
7924,0.00837745841126889
8697,0.00931402500718832
9545,0.010201216605491937
10476,0.011598591809161007
11497,0.012460666801780462
12618,0.01413755000103265
13848,0.015458941808901727
15199,0.016946316603571175
16681,0.01788515839725733
18307,0.02423351660836488
20092,0.02273201660718769
22051,0.023444999987259508
24201,0.02631960001308471
26560,0.028070141607895494
29150,0.03189481678418815
31992,0.03421608319040388
35111,0.037747599999420345
38535,0.04147634999826551
42292,0.04780387498904019
46415,0.05119235839229077
50941,0.054768483410589396
55908,0.06314370839390904
61359,0.0708292500115931
67341,0.07494379160925746
73907,0.08329020841047168
81113,0.09770784999709577
89021,0.09947284159716219
97700,0.12066942499950528
107226,0.12230704161338508
117681,0.13734979999717326
129154,0.14938611679244787
141747,0.1616723000071943
155567,0.18574040820822119
170735,0.20249076660256832
187381,0.23421902500558645
205651,0.2434341249987483
225701,0.2847786084050313
247707,0.31663129159715026
271858,0.34679913320578637
298364,0.385978424991481
327454,0.4397334499983117
359381,0.48853777498006823
394420,0.5299076665891335
432876,0.6037848584121093
475081,0.6606876999838278
521400,0.70983067501802
572236,0.8012574250111356
628029,0.8989187834085897
689261,1.0599647750146688
756463,1.2014761667931453
830217,1.247815491608344
911162,1.4051529918098822
1000000,1.574722541612573
