n,tempo_medio
100,0.00522000000346452
109,0.0051640084013342856
120,0.009817583416588605
132,0.0053473832085728645
145,0.00520261658821255
159,0.005244316603057087
174,0.005263324989937246
191,0.005178683390840888
210,0.0051988582126796246
231,0.005219241604208946
253,0.005250316602177918
278,0.005288699991069734
305,0.005292633408680558
335,0.005313466605730355
367,0.005366316810250282
403,0.005523283197544515
443,0.0056174834026023746
486,0.0056267583975568415
533,0.00567766660824418
585,0.005775683396495879
642,0.005759941600263119
705,0.00579195839818567
774,0.006018208409659565
849,0.006169749982655048
932,0.006274850014597178
1023,0.0061464749975129965
1123,0.006135475006885827
1232,0.006404099985957146
1353,0.0062136333901435135
1484,0.006323825009167195
1629,0.0063590334029868245
1788,0.006499208207242191
1963,0.006425241590477526
2154,0.006650683213956654
2364,0.006657083216123283
2595,0.006721508386544883
2848,0.00675641680136323
3125,0.0070097416173666716
3430,0.0071867083897814155
3764,0.0072414000052958725
4132,0.007248850003816187
4534,0.007405008189380169
4977,0.007955175009556115
5462,0.007842041598632932
5994,0.007901708409190179
6579,0.008135425020009279
7220,0.008441083412617446
7924,0.00865551659371704
8697,0.008913316600956022
9545,0.009671208402141928
10476,0.009904549992643296
11497,0.010294116800650954
12618,0.010378741589374841
13848,0.010792891611345112
15199,0.011597850010730326
16681,0.01185324159450829
18307,0.012413075007498265
20092,0.01290928318630904
22051,0.013536741607822478
24201,0.014525716588832439
26560,0.015288433409295976
29150,0.017019258416257798
31992,0.017932466813363135
35111,0.018789358413778247
38535,0.019619066803716122
42292,0.02158240000717342
46415,0.022063933406025173
50941,0.024451074982061984
55908,0.025508108199574053
61359,0.027893066802062095
67341,0.029775975015945734
73907,0.03192018340341747
81113,0.03486911659128964
89021,0.03767913340125233
97700,0.04124752499628812
107226,0.04425567500293255
117681,0.047918300004675986
129154,0.052057566586881876
141747,0.057020975020714106
155567,0.061901200003921984
170735,0.06964910000097006
187381,0.07532286660280078
205651,0.08249859178904444
225701,0.08993925841059536
247707,0.09636094998568297
271858,0.11051543338689954
298364,0.1171717168064788
327454,0.1280867249937728
359381,0.1435833499999717
394420,0.16124013341031967
432876,0.18164973321836442
475081,0.20117375841364266
521400,0.21563130819704385
572236,0.23073327501770108
628029,0.2514887165976688
689261,0.2799594999989495
756463,0.30986064181197437
830217,0.33611843318212775
911162,0.3792499333852902
1000000,0.42667771680280564
