m,tempo_medio
10,0.004505516798235476
11,0.004563666600733996
12,0.004567575000692159
14,0.004595100006554276
15,0.0051106165978126224
17,0.005293116602115333
20,0.005118975008372217
22,0.00508261660579592
25,0.005098491592798382
28,0.005124424991663545
31,0.005750024993903935
35,0.005445316608529538
40,0.005947475007269531
45,0.005701233202125877
50,0.005903033202048391
57,0.00598918340401724
64,0.006420658202841878
72,0.0066507334006018935
81,0.006503308401443064
91,0.0064460249966941776
102,0.006623899994883687
114,0.006556174997240305
129,0.006849624996539206
145,0.007147316599730402
162,0.00730940840439871
183,0.0072588918032124635
205,0.007750933198258281
231,0.007413033198099583
259,0.007683208398520947
291,0.0077795165940187875
327,0.008442666602786631
367,0.007990116602741182
413,0.008281775005161762
464,0.008553074998781085
521,0.009172533405944705
585,0.00866244159406051
657,0.009008808399084956
739,0.008860099990852178
830,0.009461983398068696
932,0.009658691601362079
1047,0.009663350007031113
1176,0.010209083394147455
1321,0.010742833407130092
1484,0.010335999995004386
1668,0.010226491803769023
1873,0.010563224996440112
2104,0.011264325003139675
2364,0.010841750004328788
2656,0.010978449997492135
2983,0.011365566600579769
3351,0.011165691597852856
3764,0.01164704179391265
4229,0.012065141799394042
4750,0.012250699999276549
5336,0.012526424997486175
5994,0.012745483207982033
6734,0.01311020840657875
7564,0.012808091600891202
8497,0.013384658400900662
9545,0.013712049997411668
10722,0.013823399995453655
12045,0.013751749997027218
13530,0.014021116797812283
15199,0.014098366803955287
17073,0.014685241598635912
19179,0.014867766597308218
21544,0.014482908404897899
24201,0.015078599995467812
27185,0.014809249993413686
30538,0.014839424996171146
34304,0.014967508194968105
38535,0.01516048340126872
43287,0.015268433396704495
48626,0.015720891603268682
54622,0.01538992499699816
61359,0.015767466591205447
68926,0.015825374994892626
77426,0.01586620000889525
86974,0.01539209159091115
97700,0.01593242500675842
109749,0.015709491597954185
123284,0.015587324998341501
138488,0.01597424999345094
155567,0.01588090000441298
174752,0.016012833395507187
196304,0.015692416601814328
220513,0.015899291599635035
247707,0.015531341591849924
278255,0.01619367500534281
312571,0.01594415840227157
351119,0.015793025004677476
394420,0.015898991597350687
443062,0.01596031659282744
497702,0.016378925007302314
559081,0.015988533198833466
628029,0.015839474997483192
705480,0.0157097582006827
792482,0.01572355000535026
890215,0.01634566659340635
999999,0.01622715819394216
