m,tempo_medio
10,0.21732845819788055
11,0.19849893340142444
12,0.18528619999997317
14,0.16095413319999352
15,0.15188764999620616
17,0.1356844750000164
20,0.1172740500071086
22,0.10833293320611119
25,0.09576854999177158
28,0.08692700000246986
31,0.08054409180767834
35,0.07201515840133652
40,0.06379060839535669
45,0.05815134999575093
50,0.0533066333970055
57,0.04775059160310775
64,0.04365907500032336
72,0.04023506660014391
81,0.036746199999470264
91,0.03353311660466716
102,0.031144008203409613
114,0.028274833399336785
129,0.026416591799352317
145,0.02421689999755472
162,0.022432933398522436
183,0.021012491604778916
205,0.019409741600975396
231,0.018269241601228715
259,0.0178778168046847
291,0.016687816800549628
327,0.015672766603529453
367,0.015190575004089624
413,0.014387891592923552
464,0.013871883403044193
521,0.01351476659765467
585,0.012886541604530066
657,0.012778175005223602
739,0.012354183394927531
830,0.012269550003111362
932,0.011614133196417242
1047,0.011772949993610383
1176,0.011385116598103196
1321,0.011144600005354732
1484,0.010918708401732147
1668,0.010643174999859183
1873,0.010505816608201712
2104,0.010803174995817243
2364,0.010623741592280567
2656,0.010743333399295807
2983,0.010674233199097216
3351,0.010097308410331607
3764,0.010322783200535923
4229,0.010234425007365645
4750,0.010394083394203335
5336,0.00996393320383504
5994,0.009982058394234628
6734,0.009995075000915676
7564,0.009973250003531576
8497,0.010196200001519173
9545,0.009950483392458409
10722,0.010244525002781302
12045,0.009912608389277012
13530,0.009808349993545563
15199,0.009829550003632902
17073,0.01014623319497332
19179,0.009939524997025728
21544,0.01019414160400629
24201,0.009841749991755933
27185,0.009844325005542488
30538,0.010046941810287535
34304,0.010197508207056671
38535,0.00992261660285294
43287,0.009965791797731072
48626,0.010049125005025417
54622,0.010149524989537894
61359,0.0099126165965572
68926,0.010054008208680899
77426,0.010032366600353271
86974,0.00996571679133922
97700,0.009868358203675598
109749,0.00995365841081366
123284,0.009710666793398558
138488,0.010007099993526936
155567,0.010081491607706994
174752,0.009983066597487777
196304,0.009966333396732807
220513,0.00981636659707874
247707,0.009704558399971575
278255,0.009999150002840906
312571,0.010166541801299899
351119,0.010096175002399833
394420,0.009845608205068856
443062,0.009771741600707174
497702,0.009890658408403396
559081,0.01010534999659285
628029,0.010093983204569668
705480,0.009789841598831117
792482,0.010412733198609202
890215,0.0100129000027664
999999,0.01000970839522779
